Tema,Tarefas
Teorema de Pitágoras,"Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Segunda Guerra Mundial,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Encontra e analisa um caso real que envolva {tema}.
Reações Químicas,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Pesquisa e resume um artigo científico sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Engenharia Aeroespacial,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Encontra e analisa um caso real que envolva {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Redes Neurais Artificiais,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Elabora um workshop educativo prático sobre {tema}.
Criatividade e Inovação,Desenha um infográfico para explicar {tema} de forma visual.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Mecânica Quântica,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Pesquisa e resume um artigo científico sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha um infográfico para explicar {tema} de forma visual.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
História da Medicina,Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Encontra e analisa um caso real que envolva {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Psicologia Comportamental,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}."
Programação em Python,"Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um poema ou música sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}."
Cálculo Diferencial,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Escreve um discurso político que mencione a importância de {tema}.; Cria um website simples que explique {tema} para iniciantes.
Física de Partículas,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Ecossistemas Marinhos,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um poema ou música sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um argumento defendendo e outro contra {tema}.
Robótica e Automação,Escreve um código de programação simples que ilustre um conceito de {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Fotossíntese,Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Desenha um infográfico para explicar {tema} de forma visual.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Eletricidade e Magnetismo,Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Linguística e Origem das Línguas,"Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual."
Evolução das Espécies,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um poema ou música sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}."
Realidade Virtual e Aumentada,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenha um infográfico para explicar {tema} de forma visual.
Teorema de Pitágoras,Pesquisa e resume um artigo científico sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Engenharia Aeroespacial,Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Cálculo Diferencial,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve um poema ou música sobre {tema}.
Cálculo Diferencial,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Arquitetura Gótica,"Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Expansão Marítima Portuguesa,"Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um argumento defendendo e outro contra {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}."
Filósofos Gregos,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.
Astronomia Observacional,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenha um infográfico para explicar {tema} de forma visual.
Ecossistemas Marinhos,Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.
Eletricidade e Magnetismo,"Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia."
Direitos Humanos,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?
Engenharia Aeroespacial,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Bioética,Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Escreve um discurso político que mencione a importância de {tema}.
Teorema de Euler,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um workshop educativo prático sobre {tema}.
Robótica e Automação,Escreve um poema ou música sobre {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Engenharia Aeroespacial,"Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Pesquisa e resume um artigo científico sobre {tema}."
Eletricidade e Magnetismo,"Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
O Ciclo da Água,"Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria um website simples que explique {tema} para iniciantes.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
História da Medicina,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Big Bang e a Origem do Universo,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um discurso político que mencione a importância de {tema}.
Desenvolvimento Sustentável,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve um poema ou música sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Física de Partículas,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Desenha um infográfico para explicar {tema} de forma visual.
Segunda Guerra Mundial,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
O Ciclo da Água,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenha um infográfico para explicar {tema} de forma visual.
Blockchain e Criptomoedas,"Elabora um workshop educativo prático sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Blockchain e Criptomoedas,Desenha um infográfico para explicar {tema} de forma visual.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um website simples que explique {tema} para iniciantes.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.
História da Computação,Escreve um discurso político que mencione a importância de {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Teorema de Pitágoras,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Encontra e analisa um caso real que envolva {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Robótica e Automação,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um discurso político que mencione a importância de {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.
Segunda Guerra Mundial,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Evolução das Espécies,Pesquisa como {tema} é abordado em diferentes culturas e países.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.
Ética na Inteligência Artificial,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Encontra e analisa um caso real que envolva {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Teorema de Pitágoras,Encontra e analisa um caso real que envolva {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Matemática na Música,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Encontra e analisa um caso real que envolva {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Programação em Python,"Encontra e analisa um caso real que envolva {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Realidade Virtual e Aumentada,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Energia Nuclear,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Teoria da Relatividade,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Encontra e analisa um caso real que envolva {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.
Robótica e Automação,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Neurociência,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Eletricidade e Magnetismo,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Mecânica Quântica,Desenha um infográfico para explicar {tema} de forma visual.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Ecossistemas Marinhos,Escreve um poema ou música sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
Economia Sustentável,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Encontra e analisa um caso real que envolva {tema}.
Redes Neurais Artificiais,Cria um enigma ou puzzle matemático baseado em {tema}.; Encontra e analisa um caso real que envolva {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Redes Neurais Artificiais,Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Encontra e analisa um caso real que envolva {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa e resume um artigo científico sobre {tema}.
Bioética,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Teorema de Pitágoras,Escreve um discurso político que mencione a importância de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Escreve um argumento defendendo e outro contra {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Mitologia Nórdica,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?
Arquitetura Gótica,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Encontra e analisa um caso real que envolva {tema}.
Teoria da Relatividade,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Elabora um workshop educativo prático sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.
Mecânica Quântica,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Encontra e analisa um caso real que envolva {tema}.
Fotossíntese,"Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria uma experiência científica para demonstrar um princípio de {tema}."
Teorema de Pitágoras,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um enigma ou puzzle matemático baseado em {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Escreve um argumento defendendo e outro contra {tema}."
Evolução das Espécies,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um enigma ou puzzle matemático baseado em {tema}.; Encontra e analisa um caso real que envolva {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
